,1,2,3,4,5,6,7,8
0,-76.0,38.4,-70.0,-66.0,9.640000000000184,-34.0,-12.959999999999905,45.7600000000003
1,-76.0,42.8,-62.0,-70.0,-40.0,-54.0,-1.7599999999998428,39.160000000000274
2,-90.0,48.8,-70.0,-70.0,8.760000000000161,-64.0,-9.15999999999995,38.440000000000275
3,-90.0,28.4,-72.0,-70.0,-18.879999999999903,-70.0,22.000000000000114,27.040000000000255
4,-84.0,31.2,-72.0,-72.0,5.360000000000161,-88.0,-28.0,14.800000000000125
5,-82.0,41.6,-70.0,-76.0,-9.27999999999987,-50.0,-18.159999999999947,43.96000000000029
6,-76.0,12.0,-70.0,-54.0,-9.11999999999989,-64.0,-19.199999999999932,28.840000000000252
7,-100.0,6.0,-70.0,-70.0,-29.879999999999946,-70.0,-7.559999999999933,45.880000000000294
8,-78.0,47.6,-74.0,-74.0,-35.23999999999994,-56.0,-13.75999999999991,60.76000000000031
9,-96.0,56.0,-70.0,-88.0,-52.0,-72.0,23.680000000000224,47.5600000000003
