gen,nevals,avg,std,min,max
0,20,-5.456037108743137,0.26237155098175713,-5.684625026168113,-4.769854433371979
1,20,-5.22865945567224,0.41918849812333303,-5.675710711426992,-4.5869001869681165
2,20,-4.842045250093734,0.3211386691713795,-5.627420106251182,-4.605945949241121
3,20,-4.763492453739138,0.23095693186131286,-5.481722230546157,-4.557136404663339
4,20,-4.827857443568466,0.27450297308863053,-5.637480365672812,-4.5662394271146765
5,20,-4.767804020339069,0.23296574976286663,-5.50912219147392,-4.529478094540784
6,20,-4.731502175295185,0.10106362278822811,-4.908601917490073,-4.555463235770378
7,20,-4.835710923772592,0.33967373336650675,-5.79197714839147,-4.605945949241121
8,20,-4.795481829757169,0.3052233688548354,-5.649296148306511,-4.513252352125922
9,20,-4.748940777604218,0.22286619003615046,-5.655678102453451,-4.568178101173604
10,20,-5.007224087463146,0.4231910267406968,-5.62105919004549,-4.517715097832094
11,20,-4.835126268659335,0.32878989214238497,-5.6157427562429305,-4.403750996468577
12,20,-4.774030870409918,0.3314919684373538,-5.6127442352734045,-4.430837044422192
13,20,-4.6297658076028,0.07678603352365251,-4.796343083689563,-4.487389066992864
14,20,-4.837169388247238,0.39561957317851487,-5.607396367300846,-4.4478403193278275
