gen,nevals,avg,std,min,max
0,30,-1.0991365120327345,10.67896648067077,-7.364473026667318,34.5201436823209
1,81,19.704896925873825,24.533806967595485,-5.826822334256201,77.55152683076659
2,80,33.219185544997075,26.905823925386628,-5.709257019119795,86.1006766283759
3,79,35.66122358319738,26.8020167609305,-5.732917301468964,70.33259449794961
4,78,45.10312412962623,14.066167381551834,23.671360668602507,70.33259449794961
5,85,44.7511571586344,14.882926803603123,10.862679560880544,70.33259449794961
6,81,52.986712297394355,14.74505182586138,14.616859825620939,70.70666119594192
7,76,50.04030927779635,15.784916706322923,12.773529499716869,70.70666119594192
8,82,52.503450767059,12.467708886634787,30.84529994132954,70.46642681726358
9,79,61.08521657125307,9.055376974509848,34.12924399374994,70.15376489788407
10,77,61.39880962755729,11.240021451564038,37.797798810208846,70.77635442200511
11,81,66.25476283105212,6.110775994099444,41.79676664847571,70.77635442200511
12,81,63.691415445480985,8.842501481354372,41.389180108387976,70.77635442200511
13,76,64.1420746993836,9.918888162011577,41.389180108387976,70.73833948024595
14,83,68.13883388814337,4.99918217722437,55.89370172671447,77.75285609963235
15,79,69.42667172088474,7.5747193795389975,41.48499347803323,85.9928400248633
